,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
576,Terrorist Screening Center,Terrorist Screening Center,['Active'],The Terrorist Screening Center (TSC) is a multi-agency center that consolidates and maintains the federal government's terrorist watchlist. Its primary goal is to support law enforcement and national security agencies in detecting and preventing terrorist activities.,"['Terrorism', 'Screening', 'Security', 'Watchlist', 'Counterterrorism', 'Intelligence', 'Law Enforcement', 'Federal', 'Multi-agency', 'National Security']",N/A,N/A,N/A,N/A
577,Federal Bureau of Investigation,,Active,"The Federal Bureau of Investigation (FBI) is the principal federal investigative agency and domestic intelligence service of the United States, tasked with investigating and enforcing federal laws. It operates under the Department of Justice and is responsible for addressing a wide range of criminal activities, including terrorism, cybercrime, public corruption, organized crime, and civil rights violations.","['investigation', 'intelligence', 'law enforcement', 'security', 'cybercrime', 'terrorism', 'criminal justice', 'forensics', 'public safety', 'federal agency']",$9.5 billion,U.S. Federal Government Budget,"36,000",FBI Official Reports
578,Jet Propulsion Lab Communications and Education Directorate,GOES-R Series Weather Satellites,Active,"The organization is involved in educational outreach related to meteorology and space weather, providing resources such as videos, games, and interactive content for educators and the general public on the impacts of weather and space phenomena.","['Education', 'Meteorology', 'Space Weather', 'Satellites', 'Interactive Content', 'Videos', 'Games', 'GOES-R Series', 'Public Outreach', 'Science Communication']",Approximately $500 million (2023 estimate),NASA Budget Reports,Not publicly available,N/A
579,"GSA, IC, Acquisition",General Services Administration (GSA),Active,"The General Services Administration (GSA) is an independent agency of the United States government that facilitates the management and support of federal agencies. It provides procurement, logistics, and acquisition support services, ensuring that government operations are efficient and effective.","['Procurement', 'Acquisition', 'Regulations', 'GSA', 'Government Services', 'Logistics', 'Acquisition Support', 'Federal Regulations', 'Efficiency', 'Sustainability']",N/A,N/A,N/A,N/A
580,Library of Congress,,['Not Active'],"The Library of Congress is the largest library in the world, serving as the research arm of the U.S. Congress and providing access to a vast array of resources, including books, recordings, photographs, maps, and manuscripts.","['Library', 'Congress', 'Research', 'Books', 'Archives', 'Cultural Preservation', 'Information Access', 'Public Services', 'Exhibitions', 'Digitization']","Varies, substantial federal funding",Federal budget allocations,"Approximately 3,000",Library of Congress published reports
581,Centers for Disease Control and Prevention,Federal Select Agent Program,['Active'],"The Federal Select Agent Program is a collaborative initiative between the Centers for Disease Control and Prevention (CDC) and the Animal and Plant Health Inspection Service (APHIS), focused on the regulation and oversight of select agents and toxins that pose threats to public, animal, or plant health. Its responsibilities include developing and enforcing regulations, maintaining a national database, and ensuring compliance through security risk assessments and guidance.","['select agents', 'toxic substances', 'regulation', 'compliance', 'public health', 'agent oversight', 'safety', 'security', 'guidance documents', 'inspections']",Not publicly available,N/A,Not publicly available,N/A
582,National Archives and Records Administration,National Archives and Records Administration,['Active'],"The National Archives and Records Administration (NARA) is an independent agency of the U.S. federal government that is responsible for preserving and documenting government and historical records. It serves to ensure that essential records are available for the public and government operations, and supports genealogical research and historical projects.","['Archives', 'Records', 'Genealogy', 'History', 'Preservation', 'Research', 'Documentation', 'Civic engagement', 'Education', 'Public access']",approximately $400 million (FY 2023),U.S. Federal Budget,"approximately 3,000",NARA Human Resources
583,Office of Justice Programs,Office of Juvenile Justice and Delinquency Prevention,Active,"The Office of Juvenile Justice and Delinquency Prevention (OJJDP) works to improve the juvenile justice system, prevent and reduce juvenile delinquency, and promote the welfare of youth. Established as part of the Juvenile Justice and Delinquency Prevention Act, it leads national efforts and initiatives aimed at reforming juvenile justice policies and practices, emphasizing research-based approaches and community engagement.","['juvenile justice', 'delinquency prevention', 'youth welfare', 'community programs', 'evidence-based', 'reform', 'family involvement', 'public safety', 'training and technical assistance', 'national conference']",$350 million (annual budget),Department of Justice appropriations,150,U.S. Department of Justice personnel records
584,Federal Motor Carrier Safety Administration,,['Not Active'],"The Federal Motor Carrier Safety Administration (FMCSA) is a United States government agency responsible for regulating the trucking industry in the U.S. The agency's mission is to reduce crashes, injuries, and fatalities involving large trucks and buses.","['safety', 'transportation', 'regulation', 'truck', 'bus', 'roads', 'compliance', 'enforcement', 'education', 'policy']",Not available,Not available,Not available,Not available
585,Office of Justice Programs,,['Not Active'],"The Office of Justice Programs (OJP) was a component of the U.S. Department of Justice that provided leadership, grant resources, and information to improve the effectiveness of the justice system. However, since there is no current information available, it is assumed to be inactive.","['justice', 'grants', 'leadership', 'crime prevention', 'law enforcement', 'community safety', 'criminal justice', 'research', 'policy development', 'funding']",N/A,N/A,N/A,N/A
586,Institute for Intergovernmental Research,National Criminal Intelligence Resource Center,['Active'],"The National Criminal Intelligence Resource Center provides resources and support primarily for law enforcement intelligence operations and practices, facilitating collaboration and information sharing among criminal justice professionals.","['Law Enforcement', 'Intelligence Operations', 'Collaboration', 'Information Sharing', 'Criminal Justice', 'Training', 'Fusion Centers', 'Security', 'Threat Prevention', 'Resource Center']",N/A,N/A,N/A,N/A
